id,artists,name,release_date,liked
51aVoX1BhBmsh6bqh61ilC,['Lil Uzi Vert'],Bust Me,2020-03-13,Sim
0vv7WPmdbL3fkN8UsiiFqh,['Arijit Singh'],"Phir Kabhi (From ""M.S.Dhoni - The Untold Story"")",2020-06-16,Não
7ge7BHazYbVKi8qyZUX1Bm,['Lil Baby'],Emotionally Scarred,2020-02-28,Sim
1VLtjHwRWOVJiE5Py7JxoQ,['Polo G'],Martin & Gina,2020-05-15,Sim
4nRYjMFeJOJQbNC0QDLOkS,"['Lucky Daye', 'Babyface']",Shoulda (feat. Babyface),2020-05-27,Sim
3gy8PSkBSyvPyWZazgQn0F,['Christina Aguilera'],"Loyal Brave True - From ""Mulan""",2020-03-06,Não
2u3EyuCqqV31woqGvO9LBz,['Lil Baby'],Sum 2 Prove,2020-01-10,Sim
6tfEKQWSonINLZgXEQ9aRK,['6LACK'],ATL Freestyle,2020-05-29,Sim
0gO3E51A3fqp0ypJ26QbVP,"['Lil Yachty', 'Tierra Whack', 'A$AP Rocky', 'Tyler, The Creator']","T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",2020-05-29,Sim
5QZKcQDp0tCcvMdyqEciBV,"['Tyla Yaweh', 'Post Malone']",Tommy Lee (feat. Post Malone),2020-06-12,Sim
5jkbw3FDS3bSSb4oLKYbjf,"['Sub Urban', 'REI AMI']",Freak (feat. REI AMI),2020-03-13,Sim
1b6tPXXCV2fSNtR3SKWUQA,['Justin Bieber'],Available,2020-02-14,Não
62uolmVjOio9xIfwDM1ZvC,"['Lil Tecca', 'Lil Tjay']",All Star (with Lil Tjay),2020-03-13,Não
7CbxeQuHA0uysmwrbuWoSI,['HAIM'],I Know Alone,2020-04-29,Sim
0w1x05XBSRIuVmKd3D0IPd,"['Lil Tjay', 'Sheff G', 'Sleepy Hallow']",Wet Em Up Pt. 2,2020-05-08,Sim
18ssFhD04lWo1RzpcohnrG,['Demi Lovato'],Anyone,2020-01-27,Não
7IQaguO0Rsl5EL67KEMNe5,['Juanes'],Volverte A Ver,2020-06-05,Não
7b0XnbCVKMogwyt5i66o6H,['YoungBoy Never Broke Again'],Fire Stars,2020-04-24,Não
4zrYnAzX1CMRt9SoZdixMz,"['$NOT', 'Night Lovell']",Human (feat. Night Lovell),2020-05-22,Não
4DaR8M6Yj3XfZC6ixaRA4W,['Chase Rice'],Break. Up. Drunk.,2020-05-15,Sim
0gySkOOewOdZtHG8stPEB8,['Noah Cyrus'],Young & Sad,2020-05-15,Não
1AYn4YyxEF0SR3fGr6x7KN,['Chloe x Halle'],Baby Girl,2020-06-12,Não
4xqIYGwwZTEem9U8A42SPF,['Tory Lanez'],Broke In A Minute,2020-04-10,Sim
5YxhnFlztmiOKDDDkxmyh1,['Maddie & Tae'],Friends Don't,2020-04-10,Sim
2FVMbLuIxo0dz3KLXgN6Jh,['Money Man'],24,2020-03-02,Sim
2TRu7dMps7cVKOyazkj9Fb,['Pop Smoke'],Element,2020-02-12,Sim
5SUUALLSTMpyrnnVUUA5wG,"['Quinn XCII', 'Marc E. Bassy']",Coffee feat. Marc E. Bassy,2020-05-29,Não
4qNWEOMyexn7b8Icyk29t9,['Eminem'],Little Engine,2020-01-17,Sim
364dI1bYnvamSnBJ8JcNzN,"['Justin Bieber', 'Quavo']",Intentions,2020-02-07,Sim
4BR0bp4qHX1lcBM2HtnoIm,['Dixie Chicks'],Gaslighter,2020-03-04,Não
1cyAB7KGiNHIqY6A9SyFaU,"['Lil Baby', 'Lil Uzi Vert']",Commercial (feat. Lil Uzi Vert),2020-05-01,Sim
2xEyclHzLJU0CwKiQ4DwJ4,"['24kGoldn', 'Imanbek']",VALENTINO - Imanbek Remix,2020-06-10,Sim
017PF4Q3l4DBUiWoXk4OWT,['Dua Lipa'],Break My Heart,2020-03-27,Sim
72jvp2nP4zstRmFdhyWgGu,['Porte Diferente'],Por Tu Culpa,2020-04-24,Não
2sGF7DBXvL2GjkbG606m1G,['Niall Horan'],No Judgement,2020-03-13,Sim
7ikRId3U9AXd6tfF2fbItC,"['Lil Nas X', 'Nas']",Rodeo - feat. Nas,2020-01-27,Não
1D7cfiC5mxqHfTCcOiRBej,['Russell Dickerson'],Love You Like I Used To,2020-02-11,Não
4Zjdzxx0dsavsr7Ehr8fGE,"['iann dior', 'Lil Baby']",Prospect (ft. Lil Baby),2020-05-22,Sim
52Cmt3te5i4TGElk9Tqz6l,['LANY'],Super Far,2020-06-12,Sim
2b2yazOgR6eELmfkRkFLMT,['Wisin & Yandel'],Sexy Movimiento,2020-06-05,Não
2LktcIchl4v0rPXWvwBNlc,['Ludovico Sagese'],"Row, row, row your boat",2020-02-14,Não
0eeKDrQxjqNl5bX5VCHDcn,"['Justin Quiles', 'Daddy Yankee', 'El Alfa']",PAM,2020-05-01,Não
5vqlgpDrrL2reLZq1YC1dI,['Meek Mill'],Otherside Of America,2020-06-04,Não
7wxl36fAGU3Afv87ZblUwg,"['Lil Baby', 'Rylo Rodriguez']",Forget That (feat. Rylo Rodriguez),2020-02-28,Sim
5EbtodsuLbxrFDH6j5avVS,"['Camilo', 'Pablo Alborán']",El Mismo Aire - con Pablo Alborán,2020-06-10,Não
7iBKCNKl5UjxfOgyxnQ6q6,"['Pop Smoke', 'A Boogie Wit da Hoodie']",Foreigner (feat. A Boogie Wit da Hoodie),2020-02-12,Sim
3qOcLXQaamgc5R7pDQKQQp,['Fiji Blue'],Butterflies,2020-05-07,Sim
66RPX3Neyf2jim51gdtjqd,"['Alina Baraz', 'Khalid']",Off the Grid (feat. Khalid),2020-04-23,Sim
0ZHTPz5fqG9mAqqdMPCaQ6,['Epic Soundscapes'],Heavy Rain & Gentle Thunder,2020-02-23,Não
7AzlLxHn24DxjgQX73F9fU,['Don Toliver'],No Idea,2020-03-13,Não
5CpsIb7SMFHjmAG8RvIWfq,"['Eminem', 'Skylar Grey']",Leaving Heaven (feat. Skylar Grey),2020-01-17,Sim
2XEsbmynS9dLSzNSuZzfXF,['Lil Baby'],Same Thing,2020-02-28,Sim
6KjkgYu4mjsMVYy4aCzyw6,"['Lil Peep', 'Lil Tracy']",white tee,2020-06-10,Sim
05k3Qr01HMplh2nCCg7KYk,['Lil Baby'],Emotionally Scarred,2020-05-01,Sim
3ksNHUNCTP6Pan8rjFnmtw,['Katy Perry'],Never Worn White,2020-03-05,Não
57BGVV6wcyhbn3hsjlqEZB,['Pop Smoke'],Element,2020-02-07,Sim
04QTmCTsaVjcGaoxj8rSjE,"['Khalid', 'Disclosure', 'DaVido', 'Tems']",Know Your Worth,2020-04-23,Sim
1bWEngw5tAF7vWByrf5Oy5,['Machine Gun Kelly'],Bloody Valentine,2020-05-01,Sim
74gykWHknHDrg4eMdcmdRq,['Eminem'],Farewell,2020-01-17,Sim
63Zaf8Rci6eOUPqDQ4fUFx,"['Camilo', 'Christian Nodal']",La Mitad,2020-04-17,Não
2ME0NNq3eFGDfFwEMEXGdA,['Sleepy Hallow'],6am In NY,2020-06-05,Não
3Xy8IP7G1YAIXHrOUmHbqE,['Dean Lewis'],Waves,2020-06-12,Sim
3fKdTr6Uv8HTb92Ih3QWxa,['iann dior'],Pretty Girls,2020-06-12,Sim
2Os7dDSoXlcOmFR7TCEk36,['JayDaYoungan'],Try Me,2020-06-05,Sim
6RZmhpvukfyeSURhf4kZ0d,['Tame Impala'],Is It True,2020-02-14,Não
0ZjmrnH5Uh4WD1L29NTcUs,"['Justin Timberlake', 'Anna Kendrick', 'Kelly Clarkson', 'Mary J. Blige', 'Anderson .Paak', 'Kenan Thompson']",Just Sing,2020-03-13,Não
4gSDxQlfUK936JoKJ1UHvK,"['Trey Songz', 'Summer Walker']",Back Home (feat. Summer Walker),2020-06-05,Não
3uc8AGNL0KbvISIrjnfRvN,"['Lauv', 'LANY']",Mean It,2020-03-06,Sim
01Bb7kIu9BRyWE0G5A7AmI,"['Carin Leon', 'Espinoza Paz']",Como Duele Equivocarse,2020-03-27,Não
1osZ4ByxDPk5JbUqnyBJ1v,['Chloe x Halle'],Don't Make It Harder On Me,2020-06-12,Não
2Q04BmXs7Sr7ThizTmERj6,['Sam Hunt'],Young Once,2020-04-03,Não
3jhStgnHgwPGaSyhdHuT1Z,['Key Glock'],Word on the Streets,2020-01-31,Sim
45hbxz8xCxQfa9vmnV187v,['Kylie Morgan'],Break Things,2020-02-28,Não
0rohJsT6NWsThpukt0Xxdc,"['Martin Garrix', 'John Martin']",Higher Ground (feat. John Martin),2020-05-14,Sim
0aZgW8Nzg38hN00pEFyIEj,['Tiny Meat Gang'],Broke Bitch,2020-01-24,Sim
5zKlUZrOViLs7W0L5o1gPp,['NAV'],I'm Up,2020-05-11,Sim
12ZpiGAd2uPgJiofgoZMue,['Future'],One Of My,2020-05-15,Sim
6SPgp2qK3fb4wPX1SldrNf,"['Don Toliver', 'Offset', 'Quavo']",Had Enough (feat. Quavo & Offset),2020-03-13,Sim
3PdcxgzpWzAsUGgkmykIFc,"['Yung Gravy', 'bbno$']",Welcome to Chilis,2020-02-14,Não
14XHY8rgI4mOW2VvWqBk2J,['YoungBoy Never Broke Again'],I Choose You,2020-04-24,Não
